title_a,url_a,words_a,title_b,url_b,words_b,cosine,simhash_hamming,problem_categories,notes
شركة تركيب وصيانة مضخات مياه وصرف صحي بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/water-pumps-medina/,2078,شركة تركيب وصيانة مضخات مياه وصرف صحي بجدة,https://www.rukn-eltatawer.com/sa/water-pumps-jeddah/,1942,0.9848,5,duplicate_similar,نسخة مدينة شبه مطابقة (المدينة المنورة ↔ جدة) بعد توحيد اسم المدينة
شركة صيانة سباكة بمكة المكرمة,https://www.rukn-eltatawer.com/sa/plumbing-maintenance-mecca/,1821,شركة صيانة سباكة بالرياض,https://www.rukn-eltatawer.com/sa/plumbing-maintenance-riyadh/,1760,0.9848,4,duplicate_similar,نسخة مدينة شبه مطابقة (مكة المكرمة ↔ الرياض) بعد توحيد اسم المدينة
كشف تسربات المياه في الجبيل,https://www.rukn-eltatawer.com/sa/water-leak-detection-jubail/,1915,كشف تسربات المياه في الأحساء,https://www.rukn-eltatawer.com/sa/water-leak-detection-al-ahsa/,1917,0.9848,1,duplicate_similar,نسخة مدينة شبه مطابقة (الجبيل ↔ الأحساء) بعد توحيد اسم المدينة
كشف تسربات المياه في حائل,https://www.rukn-eltatawer.com/sa/water-leak-detection-hail/,1895,كشف تسربات المياه في خميس مشيط,https://www.rukn-eltatawer.com/sa/water-leak-detection-khamis-mushait/,1975,0.9848,4,duplicate_similar,نسخة مدينة شبه مطابقة (حائل ↔ خميس مشيط) بعد توحيد اسم المدينة
كشف تسربات المياه في حائل,https://www.rukn-eltatawer.com/sa/water-leak-detection-hail/,1895,كشف تسربات المياه في شمال الرياض,https://www.rukn-eltatawer.com/sa/water-leak-detection-north-riyadh/,1975,0.9848,3,duplicate_similar,نسخة مدينة شبه مطابقة (حائل ↔ الرياض) بعد توحيد اسم المدينة
شركة شحن دولي بحري بالدمام,https://www.rukn-eltatawer.com/sa/sea-freight-dammam/,1769,شركة شحن دولي بحري بالخبر,https://www.rukn-eltatawer.com/sa/sea-freight-khobar/,1774,0.9847,2,duplicate_similar,نسخة مدينة شبه مطابقة (الدمام ↔ الخبر) بعد توحيد اسم المدينة
شركة دهان مكاتب وشركات بالدمام,https://www.rukn-eltatawer.com/sa/office-painting-dammam/,1827,شركة دهان مكاتب وشركات بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/office-painting-medina/,1923,0.9847,5,duplicate_similar,نسخة مدينة شبه مطابقة (الدمام ↔ المدينة المنورة) بعد توحيد اسم المدينة
شركة دهان مكاتب وشركات بالدمام,https://www.rukn-eltatawer.com/sa/office-painting-dammam/,1827,شركة دهان مكاتب وشركات بالرياض,https://www.rukn-eltatawer.com/sa/office-painting-riyadh/,1818,0.9847,3,duplicate_similar,نسخة مدينة شبه مطابقة (الدمام ↔ الرياض) بعد توحيد اسم المدينة
شركة تركيب عرائش خشبية بالدمام,https://www.rukn-eltatawer.com/sa/wooden-arbor-installation-dammam/,1770,شركة تركيب عرائش خشبية بجدة,https://www.rukn-eltatawer.com/sa/wooden-arbor-installation-jeddah/,1777,0.9847,7,duplicate_similar,نسخة مدينة شبه مطابقة (الدمام ↔ جدة) بعد توحيد اسم المدينة
شركة تركيب شبابيك بالدمام,https://www.rukn-eltatawer.com/sa/windows-installation-dammam/,1714,شركة تركيب شبابيك بجدة,https://www.rukn-eltatawer.com/sa/windows-installation-jeddah/,1740,0.9847,1,duplicate_similar,نسخة مدينة شبه مطابقة (الدمام ↔ جدة) بعد توحيد اسم المدينة
شركة تركيب أسقف جبسية / فورسيلنج بأبها,https://www.rukn-eltatawer.com/sa/false-ceiling-abha/,1835,شركة تركيب أسقف جبسية / فورسيلنج بالخبر,https://www.rukn-eltatawer.com/sa/false-ceiling-khobar/,1867,0.9847,2,duplicate_similar,نسخة مدينة شبه مطابقة (أبها ↔ الخبر) بعد توحيد اسم المدينة
شركة بناء ملاحق بالدمام,https://www.rukn-eltatawer.com/sa/annex-building-dammam/,1708,شركة بناء ملاحق بجدة,https://www.rukn-eltatawer.com/sa/annex-building-jeddah/,1716,0.9847,4,duplicate_similar,نسخة مدينة شبه مطابقة (الدمام ↔ جدة) بعد توحيد اسم المدينة
نجار أثاث بمكة المكرمة,https://www.rukn-eltatawer.com/sa/carpenter-mecca/,1789,نجار أثاث بجدة,https://www.rukn-eltatawer.com/sa/carpenter-jeddah/,1704,0.9847,3,duplicate_similar,نسخة مدينة شبه مطابقة (مكة المكرمة ↔ جدة) بعد توحيد اسم المدينة
فني أنظمة صوت منزلية بمكة المكرمة,https://www.rukn-eltatawer.com/sa/home-audio-tech-mecca/,1852,فني أنظمة صوت منزلية بجدة,https://www.rukn-eltatawer.com/sa/home-audio-tech-jeddah/,1771,0.9847,2,duplicate_similar,نسخة مدينة شبه مطابقة (مكة المكرمة ↔ جدة) بعد توحيد اسم المدينة
شركة نقل بيانو بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/piano-moving-medina/,1792,شركة نقل بيانو بالطائف,https://www.rukn-eltatawer.com/sa/piano-moving-taif/,1706,0.9847,1,duplicate_similar,نسخة مدينة شبه مطابقة (المدينة المنورة ↔ الطائف) بعد توحيد اسم المدينة
شركة عزل حراري بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/thermal-insulation-medina/,1848,شركة عزل حراري بأبها,https://www.rukn-eltatawer.com/sa/thermal-insulation-abha/,1730,0.9847,3,duplicate_similar,نسخة مدينة شبه مطابقة (المدينة المنورة ↔ أبها) بعد توحيد اسم المدينة
شركة تنظيف ستائر بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/curtain-cleaning-medina/,1820,شركة تنظيف ستائر بالرياض,https://www.rukn-eltatawer.com/sa/curtain-cleaning-riyadh/,1741,0.9847,6,duplicate_similar,نسخة مدينة شبه مطابقة (المدينة المنورة ↔ الرياض) بعد توحيد اسم المدينة
شركة تنظيف المداخن والشفاطات بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/chimney-cleaning-medina/,1880,شركة تنظيف المداخن والشفاطات بالرياض,https://www.rukn-eltatawer.com/sa/chimney-cleaning-riyadh/,1803,0.9847,4,duplicate_similar,نسخة مدينة شبه مطابقة (المدينة المنورة ↔ الرياض) بعد توحيد اسم المدينة
شركة مكافحة الوزغ (البرص) بمكة المكرمة,https://www.rukn-eltatawer.com/sa/lizard-control-mecca/,1891,شركة مكافحة الوزغ (البرص) بالطائف,https://www.rukn-eltatawer.com/sa/lizard-control-taif/,1819,0.9847,2,duplicate_similar,نسخة مدينة شبه مطابقة (مكة المكرمة ↔ الطائف) بعد توحيد اسم المدينة
شركة تنظيف مراتب بمكة المكرمة,https://www.rukn-eltatawer.com/sa/mattress-cleaning-mecca/,1810,شركة تنظيف مراتب بالرياض,https://www.rukn-eltatawer.com/sa/mattress-cleaning-riyadh/,1756,0.9847,6,duplicate_similar,نسخة مدينة شبه مطابقة (مكة المكرمة ↔ الرياض) بعد توحيد اسم المدينة
شركة تركيب شلالات اصطناعية بمكة المكرمة,https://www.rukn-eltatawer.com/sa/artificial-waterfall-mecca/,1860,شركة تركيب شلالات اصطناعية بأبها,https://www.rukn-eltatawer.com/sa/artificial-waterfall-abha/,1765,0.9847,1,duplicate_similar,نسخة مدينة شبه مطابقة (مكة المكرمة ↔ أبها) بعد توحيد اسم المدينة
شركة إزالة دهان قديم وتحضير أسطح بمكة المكرمة,https://www.rukn-eltatawer.com/sa/paint-removal-surface-prep-mecca/,1990,شركة إزالة دهان قديم وتحضير أسطح بالخبر,https://www.rukn-eltatawer.com/sa/paint-removal-surface-prep-khobar/,1918,0.9847,7,duplicate_similar,نسخة مدينة شبه مطابقة (مكة المكرمة ↔ الخبر) بعد توحيد اسم المدينة
فني أنظمة صوت منزلية بأبها,https://www.rukn-eltatawer.com/sa/home-audio-tech-abha/,1744,فني أنظمة صوت منزلية بالرياض,https://www.rukn-eltatawer.com/sa/home-audio-tech-riyadh/,1769,0.9847,4,duplicate_similar,نسخة مدينة شبه مطابقة (أبها ↔ الرياض) بعد توحيد اسم المدينة
شركة كشف أعطال تبريد بأبها,https://www.rukn-eltatawer.com/sa/cooling-fault-detection-abha/,1785,شركة كشف أعطال تبريد بالخبر,https://www.rukn-eltatawer.com/sa/cooling-fault-detection-khobar/,1795,0.9847,5,duplicate_similar,نسخة مدينة شبه مطابقة (أبها ↔ الخبر) بعد توحيد اسم المدينة
شركة تنظيف خزانات ديزل بالطائف,https://www.rukn-eltatawer.com/sa/diesel-tank-cleaning-taif/,1818,شركة تنظيف خزانات ديزل بجدة,https://www.rukn-eltatawer.com/sa/diesel-tank-cleaning-jeddah/,1833,0.9847,1,duplicate_similar,نسخة مدينة شبه مطابقة (الطائف ↔ جدة) بعد توحيد اسم المدينة
شركة تركيب انترلوك بالطائف,https://www.rukn-eltatawer.com/sa/interlock-taif/,1717,شركة تركيب انترلوك بجدة,https://www.rukn-eltatawer.com/sa/interlock-jeddah/,1734,0.9847,2,duplicate_similar,نسخة مدينة شبه مطابقة (الطائف ↔ جدة) بعد توحيد اسم المدينة
شركة ديكورات جبس بورد بالخبر,https://www.rukn-eltatawer.com/sa/gypsum-board-decor-khobar/,1766,شركة ديكورات جبس بورد بمكة المكرمة,https://www.rukn-eltatawer.com/sa/gypsum-board-decor-mecca/,1859,0.9847,5,duplicate_similar,نسخة مدينة شبه مطابقة (الخبر ↔ مكة المكرمة) بعد توحيد اسم المدينة
شركة مكاتب الشحن بالخبر,https://www.rukn-eltatawer.com/sa/shipping-offices-khobar/,1709,شركة مكاتب الشحن بالرياض,https://www.rukn-eltatawer.com/sa/shipping-offices-riyadh/,1713,0.9847,3,duplicate_similar,نسخة مدينة شبه مطابقة (الخبر ↔ الرياض) بعد توحيد اسم المدينة
كهربائي منازل بأبها,https://www.rukn-eltatawer.com/sa/home-electrician-abha/,1705,شركة كهربائي منازل بمكة المكرمة,https://www.rukn-eltatawer.com/sa/home-electrician-elec-mecca/,1797,0.9847,2,duplicate_similar,نسخة مدينة شبه مطابقة (أبها ↔ مكة المكرمة) بعد توحيد اسم المدينة
شركة إنشاء جلسات حدائق بالخبر,https://www.rukn-eltatawer.com/sa/garden-seating-khobar/,1770,شركة إنشاء جلسات حدائق بالدمام,https://www.rukn-eltatawer.com/sa/garden-seating-dammam/,1753,0.9847,2,duplicate_similar,نسخة مدينة شبه مطابقة (الخبر ↔ الدمام) بعد توحيد اسم المدينة
شركة قص عشب طبيعي بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/natural-grass-cutting-medina/,1844,شركة قص عشب طبيعي بالرياض,https://www.rukn-eltatawer.com/sa/natural-grass-cutting-riyadh/,1771,0.9847,0,duplicate_similar,نسخة مدينة شبه مطابقة (المدينة المنورة ↔ الرياض) بعد توحيد اسم المدينة
شركة صيانة مكانس كهربائية بالطائف,https://www.rukn-eltatawer.com/sa/vacuum-maintenance-taif/,1778,شركة صيانة مكانس كهربائية بمكة المكرمة,https://www.rukn-eltatawer.com/sa/vacuum-maintenance-mecca/,1866,0.9847,4,duplicate_similar,نسخة مدينة شبه مطابقة (الطائف ↔ مكة المكرمة) بعد توحيد اسم المدينة
شركة تركيب وصيانة مضخات مياه وصرف صحي بأبها,https://www.rukn-eltatawer.com/sa/water-pumps-abha/,1952,شركة تركيب وصيانة مضخات مياه وصرف صحي بالرياض,https://www.rukn-eltatawer.com/sa/water-pumps-riyadh/,1993,0.9847,4,duplicate_similar,نسخة مدينة شبه مطابقة (أبها ↔ الرياض) بعد توحيد اسم المدينة
شركة غسيل وتنظيف مكيفات بأبها,https://www.rukn-eltatawer.com/sa/ac-cleaning-washing-abha/,1802,شركة غسيل وتنظيف مكيفات بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/ac-cleaning-washing-medina/,1912,0.9847,4,duplicate_similar,نسخة مدينة شبه مطابقة (أبها ↔ المدينة المنورة) بعد توحيد اسم المدينة
شركة عقود صيانة تكييف دورية بالطائف,https://www.rukn-eltatawer.com/sa/ac-periodic-maintenance-contracts-taif/,1893,شركة عقود صيانة تكييف دورية بجدة,https://www.rukn-eltatawer.com/sa/ac-periodic-maintenance-contracts-jeddah/,1881,0.9847,3,duplicate_similar,نسخة مدينة شبه مطابقة (الطائف ↔ جدة) بعد توحيد اسم المدينة
شركة تركيب تكييف مركزي جديد بالطائف,https://www.rukn-eltatawer.com/sa/new-central-ac-installation-taif/,1878,شركة تركيب تكييف مركزي جديد بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/new-central-ac-installation-medina/,1964,0.9847,1,duplicate_similar,نسخة مدينة شبه مطابقة (الطائف ↔ المدينة المنورة) بعد توحيد اسم المدينة
شركة صيانة الأجهزة الكهربائية بالدمام,https://www.rukn-eltatawer.com/sa/appliance-maintenance-dammam/,1805,شركة صيانة الأجهزة الكهربائية بجدة,https://www.rukn-eltatawer.com/sa/appliance-maintenance-jeddah/,1777,0.9847,5,duplicate_similar,نسخة مدينة شبه مطابقة (الدمام ↔ جدة) بعد توحيد اسم المدينة
شركة عقود صيانة تكييف دورية بالخبر,https://www.rukn-eltatawer.com/sa/ac-periodic-maintenance-contracts-khobar/,1863,شركة عقود صيانة تكييف دورية بجدة,https://www.rukn-eltatawer.com/sa/ac-periodic-maintenance-contracts-jeddah/,1881,0.9847,4,duplicate_similar,نسخة مدينة شبه مطابقة (الخبر ↔ جدة) بعد توحيد اسم المدينة
شركة تركيب وحدات تكييف نافذة بالخبر,https://www.rukn-eltatawer.com/sa/window-ac-installation-khobar/,1864,شركة تركيب وحدات تكييف نافذة بجدة,https://www.rukn-eltatawer.com/sa/window-ac-installation-jeddah/,1877,0.9847,5,duplicate_similar,نسخة مدينة شبه مطابقة (الخبر ↔ جدة) بعد توحيد اسم المدينة
شركة تركيب سخانات طاقة شمسية بالدمام,https://www.rukn-eltatawer.com/sa/solar-water-heaters-dammam/,1835,شركة تركيب سخانات طاقة شمسية بمكة المكرمة,https://www.rukn-eltatawer.com/sa/solar-water-heaters-mecca/,1924,0.9847,2,duplicate_similar,نسخة مدينة شبه مطابقة (الدمام ↔ مكة المكرمة) بعد توحيد اسم المدينة
شركة عقود صيانة تكييف دورية بالدمام,https://www.rukn-eltatawer.com/sa/ac-periodic-maintenance-contracts-dammam/,1847,شركة عقود صيانة تكييف دورية بجدة,https://www.rukn-eltatawer.com/sa/ac-periodic-maintenance-contracts-jeddah/,1881,0.9847,4,duplicate_similar,نسخة مدينة شبه مطابقة (الدمام ↔ جدة) بعد توحيد اسم المدينة
شركة تنظيف سجاد بمكة المكرمة,https://www.rukn-eltatawer.com/sa/carpet-cleaning-mecca/,1795,شركة تنظيف سجاد بالرياض,https://www.rukn-eltatawer.com/sa/carpet-cleaning-riyadh/,1741,0.9847,1,duplicate_similar,نسخة مدينة شبه مطابقة (مكة المكرمة ↔ الرياض) بعد توحيد اسم المدينة
شركة كشف تسربات الغاز بمكة المكرمة,https://www.rukn-eltatawer.com/sa/gas-leak-detection-mecca/,2031,شركة كشف تسربات الغاز بالرياض,https://www.rukn-eltatawer.com/sa/gas-leak-detection-riyadh/,1954,0.9847,3,duplicate_similar,نسخة مدينة شبه مطابقة (مكة المكرمة ↔ الرياض) بعد توحيد اسم المدينة
كشف تسربات المياه في القطيف,https://www.rukn-eltatawer.com/sa/water-leak-detection-qatif/,1877,كشف تسربات المياه في غرب الرياض,https://www.rukn-eltatawer.com/sa/water-leak-detection-west-riyadh/,1962,0.9847,5,duplicate_similar,نسخة مدينة شبه مطابقة (القطيف ↔ الرياض) بعد توحيد اسم المدينة
كشف تسربات المياه في الأحساء,https://www.rukn-eltatawer.com/sa/water-leak-detection-al-ahsa/,1917,كشف تسربات المياه في بريدة,https://www.rukn-eltatawer.com/sa/water-leak-detection-buraidah/,1906,0.9847,5,duplicate_similar,نسخة مدينة شبه مطابقة (الأحساء ↔ بريدة) بعد توحيد اسم المدينة
كشف تسربات المياه في الباحة,https://www.rukn-eltatawer.com/sa/water-leak-detection-al-baha/,1901,كشف تسربات المياه في نجران,https://www.rukn-eltatawer.com/sa/water-leak-detection-najran/,1898,0.9847,5,duplicate_similar,نسخة مدينة شبه مطابقة (الباحة ↔ نجران) بعد توحيد اسم المدينة
كشف تسربات المياه في الباحة,https://www.rukn-eltatawer.com/sa/water-leak-detection-al-baha/,1901,كشف تسربات المياه في جدة,https://www.rukn-eltatawer.com/sa/water-leak-detection-jeddah-center/,1960,0.9847,7,duplicate_similar,نسخة مدينة شبه مطابقة (الباحة ↔ جدة) بعد توحيد اسم المدينة
شركة عزل مائي بالدمام,https://www.rukn-eltatawer.com/sa/waterproofing-dammam/,1792,شركة عزل مائي بالخبر,https://www.rukn-eltatawer.com/sa/waterproofing-khobar/,1785,0.9846,2,duplicate_similar,نسخة مدينة شبه مطابقة (الدمام ↔ الخبر) بعد توحيد اسم المدينة
شركة شحن دولي جوي بالدمام,https://www.rukn-eltatawer.com/sa/air-freight-dammam/,1782,شركة شحن دولي جوي بمكة المكرمة,https://www.rukn-eltatawer.com/sa/air-freight-mecca/,1858,0.9846,1,duplicate_similar,نسخة مدينة شبه مطابقة (الدمام ↔ مكة المكرمة) بعد توحيد اسم المدينة
شركة دهان مكاتب وشركات بالدمام,https://www.rukn-eltatawer.com/sa/office-painting-dammam/,1827,شركة دهان مكاتب وشركات بالخبر,https://www.rukn-eltatawer.com/sa/office-painting-khobar/,1799,0.9846,3,duplicate_similar,نسخة مدينة شبه مطابقة (الدمام ↔ الخبر) بعد توحيد اسم المدينة
شركة ترميم منازل قديمة بالدمام,https://www.rukn-eltatawer.com/sa/old-house-renovation-dammam/,1801,شركة ترميم منازل قديمة بأبها,https://www.rukn-eltatawer.com/sa/old-house-renovation-abha/,1786,0.9846,7,duplicate_similar,نسخة مدينة شبه مطابقة (الدمام ↔ أبها) بعد توحيد اسم المدينة
شركة تركيب زجاج وألوميتال بالدمام,https://www.rukn-eltatawer.com/sa/glass-alumetal-dammam/,1766,شركة تركيب زجاج وألوميتال بالخبر,https://www.rukn-eltatawer.com/sa/glass-alumetal-khobar/,1773,0.9846,2,duplicate_similar,نسخة مدينة شبه مطابقة (الدمام ↔ الخبر) بعد توحيد اسم المدينة
شركة مكافحة الأفاعي بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/snake-control-medina/,1778,شركة مكافحة الأفاعي بأبها,https://www.rukn-eltatawer.com/sa/snake-control-abha/,1703,0.9846,5,duplicate_similar,نسخة مدينة شبه مطابقة (المدينة المنورة ↔ أبها) بعد توحيد اسم المدينة
شركة دهانات ديكورية وتأثيرات جدارية بالطائف,https://www.rukn-eltatawer.com/sa/decorative-wall-effects-taif/,1901,شركة دهانات ديكورية وتأثيرات جدارية بالدمام,https://www.rukn-eltatawer.com/sa/decorative-wall-effects-dammam/,1856,0.9846,2,duplicate_similar,نسخة مدينة شبه مطابقة (الطائف ↔ الدمام) بعد توحيد اسم المدينة
شركة دهان أبواب وشبابيك خشبية بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/wood-doors-windows-painting-medina/,1966,شركة دهان أبواب وشبابيك خشبية بالطائف,https://www.rukn-eltatawer.com/sa/wood-doors-windows-painting-taif/,1868,0.9846,2,duplicate_similar,نسخة مدينة شبه مطابقة (المدينة المنورة ↔ الطائف) بعد توحيد اسم المدينة
شركة تنظيف وصيانة دكتات المكيفات بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/duct-cleaning-medina/,1940,شركة تنظيف وصيانة دكتات المكيفات بالطائف,https://www.rukn-eltatawer.com/sa/duct-cleaning-taif/,1893,0.9846,3,duplicate_similar,نسخة مدينة شبه مطابقة (المدينة المنورة ↔ الطائف) بعد توحيد اسم المدينة
شركة تنظيف وصيانة دكتات المكيفات بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/duct-cleaning-medina/,1940,شركة تنظيف وصيانة دكتات المكيفات بالرياض,https://www.rukn-eltatawer.com/sa/duct-cleaning-riyadh/,1875,0.9846,3,duplicate_similar,نسخة مدينة شبه مطابقة (المدينة المنورة ↔ الرياض) بعد توحيد اسم المدينة
شركة تصميم وتنفيذ ديكورات بالطائف,https://www.rukn-eltatawer.com/sa/decor-design-taif/,1802,شركة تصميم وتنفيذ ديكورات بالدمام,https://www.rukn-eltatawer.com/sa/decor-design-dammam/,1802,0.9846,2,duplicate_similar,نسخة مدينة شبه مطابقة (الطائف ↔ الدمام) بعد توحيد اسم المدينة
شركة تركيب أسقف مستعارة بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/suspended-ceiling-medina/,1888,شركة تركيب أسقف مستعارة بالطائف,https://www.rukn-eltatawer.com/sa/suspended-ceiling-taif/,1804,0.9846,4,duplicate_similar,نسخة مدينة شبه مطابقة (المدينة المنورة ↔ الطائف) بعد توحيد اسم المدينة
فني تركيب كاميرات مراقبة بالطائف,https://www.rukn-eltatawer.com/sa/cctv-tech-taif/,1784,فني تركيب كاميرات مراقبة بالخبر,https://www.rukn-eltatawer.com/sa/cctv-tech-khobar/,1775,0.9846,4,duplicate_similar,نسخة مدينة شبه مطابقة (الطائف ↔ الخبر) بعد توحيد اسم المدينة
شركة شحن دولي بحري بمكة المكرمة,https://www.rukn-eltatawer.com/sa/sea-freight-mecca/,1861,شركة شحن دولي بحري بالرياض,https://www.rukn-eltatawer.com/sa/sea-freight-riyadh/,1812,0.9846,4,duplicate_similar,نسخة مدينة شبه مطابقة (مكة المكرمة ↔ الرياض) بعد توحيد اسم المدينة
شركة تركيب وفك الأثاث بمكة المكرمة,https://www.rukn-eltatawer.com/sa/furniture-assembly-mecca/,1892,شركة تركيب وفك الأثاث بجدة,https://www.rukn-eltatawer.com/sa/furniture-assembly-jeddah/,1810,0.9846,7,duplicate_similar,نسخة مدينة شبه مطابقة (مكة المكرمة ↔ جدة) بعد توحيد اسم المدينة
شركة تركيب سيراميك وبورسلين بمكة المكرمة,https://www.rukn-eltatawer.com/sa/ceramic-porcelain-mecca/,1842,شركة تركيب سيراميك وبورسلين بجدة,https://www.rukn-eltatawer.com/sa/ceramic-porcelain-jeddah/,1782,0.9846,5,duplicate_similar,نسخة مدينة شبه مطابقة (مكة المكرمة ↔ جدة) بعد توحيد اسم المدينة
شركة بناء أسوار طابوق بمكة المكرمة,https://www.rukn-eltatawer.com/sa/block-fences-mecca/,1863,شركة بناء أسوار طابوق بجدة,https://www.rukn-eltatawer.com/sa/block-fences-jeddah/,1785,0.9846,3,duplicate_similar,نسخة مدينة شبه مطابقة (مكة المكرمة ↔ جدة) بعد توحيد اسم المدينة
شركة مكافحة الطيور بجدة,https://www.rukn-eltatawer.com/sa/bird-control-jeddah/,1745,شركة مكافحة الطيور بالخبر,https://www.rukn-eltatawer.com/sa/bird-control-khobar/,1713,0.9846,2,duplicate_similar,نسخة مدينة شبه مطابقة (جدة ↔ الخبر) بعد توحيد اسم المدينة
شركة معالجة الرطوبة والعفن بجدة,https://www.rukn-eltatawer.com/sa/humidity-treatment-jeddah/,1781,شركة معالجة الرطوبة والعفن بالخبر,https://www.rukn-eltatawer.com/sa/humidity-treatment-khobar/,1757,0.9846,4,duplicate_similar,نسخة مدينة شبه مطابقة (جدة ↔ الخبر) بعد توحيد اسم المدينة
فني تركيب دش بالطائف,https://www.rukn-eltatawer.com/sa/sat-dish-tech-taif/,1704,فني تركيب دش بالخبر,https://www.rukn-eltatawer.com/sa/sat-dish-tech-khobar/,1672,0.9846,1,duplicate_similar,نسخة مدينة شبه مطابقة (الطائف ↔ الخبر) بعد توحيد اسم المدينة
شركة صيانة نشافات بأبها,https://www.rukn-eltatawer.com/sa/dryer-maintenance-abha/,1724,شركة صيانة نشافات بالرياض,https://www.rukn-eltatawer.com/sa/dryer-maintenance-riyadh/,1756,0.9846,4,duplicate_similar,نسخة مدينة شبه مطابقة (أبها ↔ الرياض) بعد توحيد اسم المدينة
شركة زرع نخيل وأشجار بأبها,https://www.rukn-eltatawer.com/sa/palm-tree-planting-abha/,1774,شركة زرع نخيل وأشجار بالطائف,https://www.rukn-eltatawer.com/sa/palm-tree-planting-taif/,1795,0.9846,4,duplicate_similar,نسخة مدينة شبه مطابقة (أبها ↔ الطائف) بعد توحيد اسم المدينة
شركة ترميم وصيانة مباني بأبها,https://www.rukn-eltatawer.com/sa/building-renovation-abha/,1791,شركة ترميم وصيانة مباني بالرياض,https://www.rukn-eltatawer.com/sa/building-renovation-riyadh/,1797,0.9846,3,duplicate_similar,نسخة مدينة شبه مطابقة (أبها ↔ الرياض) بعد توحيد اسم المدينة
شركة تركيب وصيانة فلاتر مياه بأبها,https://www.rukn-eltatawer.com/sa/water-filters-abha/,1842,شركة تركيب وصيانة فلاتر مياه بجدة,https://www.rukn-eltatawer.com/sa/water-filters-jeddah/,1890,0.9846,1,duplicate_similar,نسخة مدينة شبه مطابقة (أبها ↔ جدة) بعد توحيد اسم المدينة
شركة تركيب فوم للجدران بأبها,https://www.rukn-eltatawer.com/sa/wall-foam-abha/,1843,شركة تركيب فوم للجدران بالرياض,https://www.rukn-eltatawer.com/sa/wall-foam-riyadh/,1893,0.9846,6,duplicate_similar,نسخة مدينة شبه مطابقة (أبها ↔ الرياض) بعد توحيد اسم المدينة
شركة شحن أثاث بالطائف,https://www.rukn-eltatawer.com/sa/furniture-shipping-taif/,1710,شركة شحن أثاث بالخبر,https://www.rukn-eltatawer.com/sa/furniture-shipping-khobar/,1714,0.9846,5,duplicate_similar,نسخة مدينة شبه مطابقة (الطائف ↔ الخبر) بعد توحيد اسم المدينة
شركة تنظيف كراجات ومواقف سيارات بالطائف,https://www.rukn-eltatawer.com/sa/garage-cleaning-taif/,1873,شركة تنظيف كراجات ومواقف سيارات بجدة,https://www.rukn-eltatawer.com/sa/garage-cleaning-jeddah/,1878,0.9846,1,duplicate_similar,نسخة مدينة شبه مطابقة (الطائف ↔ جدة) بعد توحيد اسم المدينة
شركة تركيب زجاج وألوميتال بالطائف,https://www.rukn-eltatawer.com/sa/glass-alumetal-taif/,1771,شركة تركيب زجاج وألوميتال بالخبر,https://www.rukn-eltatawer.com/sa/glass-alumetal-khobar/,1773,0.9846,1,duplicate_similar,نسخة مدينة شبه مطابقة (الطائف ↔ الخبر) بعد توحيد اسم المدينة
شركة بناء أسوار طابوق بالطائف,https://www.rukn-eltatawer.com/sa/block-fences-taif/,1806,شركة بناء أسوار طابوق بالخبر,https://www.rukn-eltatawer.com/sa/block-fences-khobar/,1793,0.9846,3,duplicate_similar,نسخة مدينة شبه مطابقة (الطائف ↔ الخبر) بعد توحيد اسم المدينة
شركة تنظيف قصور بالخبر,https://www.rukn-eltatawer.com/sa/palace-cleaning-khobar/,1732,شركة تنظيف قصور بالرياض,https://www.rukn-eltatawer.com/sa/palace-cleaning-riyadh/,1774,0.9846,3,duplicate_similar,نسخة مدينة شبه مطابقة (الخبر ↔ الرياض) بعد توحيد اسم المدينة
شركة إزالة دهان قديم وتحضير أسطح بجدة,https://www.rukn-eltatawer.com/sa/paint-removal-surface-prep-jeddah/,1944,شركة إزالة دهان قديم وتحضير أسطح بالخبر,https://www.rukn-eltatawer.com/sa/paint-removal-surface-prep-khobar/,1918,0.9846,5,duplicate_similar,نسخة مدينة شبه مطابقة (جدة ↔ الخبر) بعد توحيد اسم المدينة
شركة تركيب شبكات ري حديثة بالخبر,https://www.rukn-eltatawer.com/sa/modern-irrigation-khobar/,1828,شركة تركيب شبكات ري حديثة بالرياض,https://www.rukn-eltatawer.com/sa/modern-irrigation-riyadh/,1849,0.9846,3,duplicate_similar,نسخة مدينة شبه مطابقة (الخبر ↔ الرياض) بعد توحيد اسم المدينة
